RestaurantId;Restaurant;IstOnline;IstGeloescht;Strasse;Hausnr;PLZ;Stadt;Direct Link;AdSchedule
1503;Indian Curry House;0;1;Weserstr.;17;60329;Frankfurt am Main;http://www.lieferando.de/lieferservice-indian-curry-house-frankfurt-am-main;(Monday@100%[11:30-14:30]);(Monday@100%[18:00-22:00]);(Tuesday@100%[11:30-14:30]);(Tuesday@100%[18:00-22:00]);(Wednesday@100%[11:30-14:30]);(Wednesday@100%[18:00-22:00]);(Thursday@100%[11:30-14:30]);(Thursday@100%[18:00-22:00]);(Friday@100%[11:30-14:30]);(Friday@100%[18:00-22:00]);(Saturday@100%[18:00-22:00]);
1504;China Express & La Dolce Vita;1;0;Dreieichstr.;25;60594;Frankfurt am Main;http://www.lieferando.de/lieferservice-china-express-und-la-dolce-vita-frankfurt-am-main;(Monday@100%[11:00-23:30]);(Tuesday@100%[11:00-23:30]);(Wednesday@100%[11:00-23:30]);(Thursday@100%[11:00-23:30]);(Friday@100%[11:00-23:30]);(Saturday@100%[11:00-23:30]);(Sunday@100%[11:00-23:30])
1505;Pizzeria Bella Italia;1;0;Hufnagelstr.;6;60326;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizzeria-bella-italia-frankfurt-am-main-hufnagelstr-;(Monday@100%[11:00-14:30]);(Monday@100%[17:00-22:45]);(Tuesday@100%[11:00-14:30]);(Tuesday@100%[17:00-22:45]);(Wednesday@100%[11:00-14:30]);(Wednesday@100%[17:00-22:45]);(Thursday@100%[11:00-14:30]);(Thursday@100%[17:00-22:45]);(Friday@100%[11:00-14:30]);(Friday@100%[17:00-22:45]);(Saturday@100%[12:00-22:45]);(Sunday@100%[12:00-22:45])
1506;Darbar;0;1;Friesenstr.;13;10965;Berlin;http://www.lieferando.de/lieferservice-darbar-berlin;(Monday@100%[11:30-23:00]);(Tuesday@100%[11:30-23:00]);(Wednesday@100%[11:30-23:00]);(Thursday@100%[11:30-23:00]);(Friday@100%[11:30-23:00]);(Saturday@100%[11:30-23:00]);(Sunday@100%[11:30-23:00])
1507;Mister Subs;1;0;Badstr.;38;13357;Berlin;http://www.lieferando.de/lieferservice-mister-subs-berlin;(Monday@100%[11:30-23:00]);(Tuesday@100%[11:30-23:00]);(Wednesday@100%[11:30-23:00]);(Thursday@100%[11:30-23:00]);(Friday@100%[11:30-23:00]);(Saturday@100%[11:30-23:00]);(Sunday@100%[11:30-23:00])
1508;Schnitzel Express;1;0;Lettigkautweg;13;60599;Frankfurt am Main;http://www.lieferando.de/lieferservice-schnitzel-express-frankfurt-am-main;(Monday@100%[11:00-14:00]);(Monday@100%[17:00-22:30]);(Tuesday@100%[11:00-14:00]);(Tuesday@100%[17:00-22:30]);(Wednesday@100%[11:00-14:00]);(Wednesday@100%[17:00-22:30]);(Thursday@100%[11:00-14:00]);(Thursday@100%[17:00-22:30]);(Friday@100%[11:00-14:00]);(Friday@100%[17:00-22:30]);(Saturday@100%[17:00-22:30]);(Sunday@100%[17:00-22:30])
1509;Luni Pizza;1;0;Alt Sossenheim;30;65936;Frankfurt am Main;http://www.lieferando.de/lieferservice-luni-pizza-frankfurt-am-main;(Monday@100%[11:30-14:00]);(Monday@100%[17:30-23:00]);(Tuesday@100%[11:30-14:00]);(Tuesday@100%[17:30-23:00]);(Wednesday@100%[11:30-14:00]);(Wednesday@100%[17:30-23:00]);(Thursday@100%[11:30-14:00]);(Thursday@100%[17:30-23:00]);(Friday@100%[11:30-14:00]);(Friday@100%[17:30-23:00]);;(Sunday@100%[17:30-23:00])
1510;Namaste India;1;0;Jordanstr.;19;60486;Frankfurt am Main;http://www.lieferando.de/lieferservice-namaste-india-frankfurt-am-main;(Monday@100%[11:30-15:00]);(Monday@100%[17:30-23:30]);(Tuesday@100%[11:30-15:00]);(Tuesday@100%[17:30-23:30]);(Wednesday@100%[11:30-15:00]);(Wednesday@100%[17:30-23:30]);(Thursday@100%[11:30-15:00]);(Thursday@100%[17:30-23:30]);(Friday@100%[11:30-15:00]);(Friday@100%[17:30-23:30]);(Saturday@100%[11:30-15:00]);(Saturday@100%[17:30-23:30]);(Sunday@100%[11:30-15:00]);(Sunday@100%[17:30-23:30])
1511;Da Giorgio;1;0;Uhlandstr.;153;10719;Berlin;http://www.lieferando.de/lieferservice-da-giorgio-berlin;(Monday@100%[00:00-03:00]);(Monday@100%[11:30-24:00]);(Tuesday@100%[00:00-03:00]);(Tuesday@100%[11:30-24:00]);(Wednesday@100%[00:00-03:00]);(Wednesday@100%[11:30-24:00]);(Thursday@100%[00:00-03:00]);(Thursday@100%[11:30-24:00]);(Friday@100%[00:00-03:00]);(Friday@100%[11:30-24:00]);(Saturday@100%[00:00-03:00]);(Saturday@100%[11:30-24:00]);(Sunday@100%[00:00-03:00]);(Sunday@100%[11:30-24:00])
1512;Vecia Parma;1;0;Mainzer Landstrasse;236;60326;Frankfurt am Main;http://www.lieferando.de/lieferservice-vecia-parma-frankfurt-am-main;(Monday@100%[11:00-21:00]);(Tuesday@100%[11:00-21:00]);(Wednesday@100%[11:00-21:00]);(Thursday@100%[11:00-21:00]);(Friday@100%[11:00-21:00]);;
1513;Da Giorgio;0;1;Kaiserin-Augusta-Allee;37;10589;Berlin;http://www.lieferando.de/lieferservice-da-giorgio-berlin-kaiserin-augusta-allee;;;;;;;
1514;Sing Le;0;1;Leibnizstr.;20;10625;Berlin;http://www.lieferando.de/lieferservice-sing-le-berlin;(Monday@100%[10:30-22:15]);(Tuesday@100%[10:30-22:15]);(Wednesday@100%[10:30-22:15]);(Thursday@100%[10:30-22:15]);(Friday@100%[10:30-22:15]);(Saturday@100%[11:30-22:15]);(Sunday@100%[11:30-22:15])
1515;Avanti Mille Grazie;1;0;Glasgower Str.;16;13349;Berlin;http://www.lieferando.de/lieferservice-avanti-mille-grazie-berlin;(Monday@100%[00:00-00:15]);(Monday@100%[10:15-24:00]);(Tuesday@100%[00:00-00:15]);(Tuesday@100%[10:15-24:00]);(Wednesday@100%[00:00-00:15]);(Wednesday@100%[10:15-24:00]);(Thursday@100%[00:00-00:15]);(Thursday@100%[10:15-24:00]);(Friday@100%[00:00-00:15]);(Friday@100%[10:15-24:00]);(Saturday@100%[00:00-00:15]);(Saturday@100%[10:15-24:00]);(Sunday@100%[00:00-00:15]);(Sunday@100%[10:15-24:00])
1516;Izumi Sushi;1;0;Kronenstr.;66;10117;Berlin;http://www.lieferando.de/lieferservice-izumi-sushi-berlin;(Monday@100%[11:00-22:30]);(Tuesday@100%[11:00-22:30]);(Wednesday@100%[11:00-22:30]);(Thursday@100%[11:00-22:30]);(Friday@100%[11:00-22:30]);(Saturday@100%[12:00-22:30]);(Sunday@100%[13:00-22:30])
1517;Pizzeria No.2;1;0;Stresemannallee;8;60596;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizzeria-no-2-frankfurt-am-main;(Monday@100%[11:00-21:30]);(Tuesday@100%[11:00-21:30]);(Wednesday@100%[11:00-21:30]);(Thursday@100%[11:00-21:30]);(Friday@100%[11:00-21:30]);;(Sunday@100%[14:00-21:30])
1518;Pizzeria Koriander;1;0;Gutleut Str.;146;60327;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizzeria-koriander-frankfurt-am-main;(Monday@100%[11:00-14:30]);(Monday@100%[17:00-22:45]);(Tuesday@100%[11:00-14:30]);(Tuesday@100%[17:00-22:45]);(Wednesday@100%[11:00-11:30]);(Wednesday@100%[17:00-22:45]);(Thursday@100%[11:00-14:30]);(Thursday@100%[17:00-22:45]);(Friday@100%[11:00-14:30]);(Friday@100%[17:00-22:45]);(Saturday@100%[12:00-14:30]);(Saturday@100%[17:00-22:45]);(Sunday@100%[12:00-14:30]);(Sunday@100%[17:00-22:45])
1519;Asia Bistro Ha Long;0;1;Lietzenburger Str.;96;10719;Berlin;http://www.lieferando.de/lieferservice-asia-bistro-ha-long-berlin;;;;;;;
1520;Muglia;1;0;Gneisenaustr.;69;10961;Berlin;http://www.lieferando.de/lieferservice-muglia-berlin;(Monday@100%[12:00-23:00]);(Tuesday@100%[12:00-23:00]);(Wednesday@100%[12:00-23:00]);(Thursday@100%[12:00-23:00]);(Friday@100%[12:00-23:00]);(Saturday@100%[12:00-23:00]);(Sunday@100%[12:00-23:00])
1521;Thaishi;0;1;Damaschkestr;20;10711;Berlin;http://www.lieferando.de/lieferservice-thaishi-berlin;(Monday@100%[11:30-22:00]);(Tuesday@100%[11:30-22:00]);(Wednesday@100%[11:30-22:00]);(Thursday@100%[11:30-22:00]);(Friday@100%[11:30-22:00]);;(Sunday@100%[12:30-22:00])
1522;Ha Long;0;1;Grunewaldstrasse;10;10823;Berlin;http://www.lieferando.de/lieferservice-ha-long-berlin;(Monday@100%[00:00-02:00]);(Monday@100%[22:00-24:00]);(Tuesday@100%[00:00-02:00]);(Tuesday@100%[11:00-24:00]);(Wednesday@100%[00:00-02:00]);(Wednesday@100%[11:00-24:00]);(Thursday@100%[00:00-02:00]);(Thursday@100%[11:00-24:00]);(Friday@100%[00:00-02:00]);(Friday@100%[11:00-24:00]);(Saturday@100%[00:00-02:00]);(Saturday@100%[11:00-24:00]);(Sunday@100%[00:00-02:00]);(Sunday@100%[11:00-24:00])
1523;Pizza Station;0;1;Wiener Str.;69;10999;Berlin;http://www.lieferando.de/lieferservice-pizza-station-berlin;(Monday@100%[00:00-01:00]);(Monday@100%[11:00-24:00]);(Tuesday@100%[00:00-01:00]);(Tuesday@100%[11:00-24:00]);(Wednesday@100%[00:00-01:00]);(Wednesday@100%[11:00-24:00]);(Thursday@100%[00:00-01:00]);(Thursday@100%[11:00-24:00]);(Friday@100%[00:00-02:00]);(Friday@100%[11:00-24:00]);(Saturday@100%[00:00-02:00]);(Saturday@100%[11:00-24:00]);(Sunday@100%[00:00-01:00]);(Sunday@100%[11:00-24:00])
1524;Pizza-Lisa;1;0;Glasgower Str.;16;13349;Berlin;http://www.lieferando.de/lieferservice-pizza-lisa-berlin;(Monday@100%[00:00-00:15]);(Monday@100%[10:15-24:00]);(Tuesday@100%[00:00-00:15]);(Tuesday@100%[10:15-24:00]);(Wednesday@100%[00:00-00:15]);(Wednesday@100%[10:15-24:00]);(Thursday@100%[00:00-00:15]);(Thursday@100%[10:15-24:00]);(Friday@100%[00:00-00:15]);(Friday@100%[10:15-24:00]);(Saturday@100%[00:00-00:15]);(Saturday@100%[10:15-24:00]);(Sunday@100%[00:00-00:15]);(Sunday@100%[10:15-24:00])
1525;Pizza Stern;1;0;Germaniastr.;134;12099;Berlin;http://www.lieferando.de/lieferservice-pizza-stern-berlin;(Monday@100%[11:00-21:45]);(Tuesday@100%[11:00-21:45]);(Wednesday@100%[11:00-21:45]);(Thursday@100%[11:00-21:45]);(Friday@100%[11:00-21:45]);(Saturday@100%[11:00-21:45]);(Sunday@100%[11:00-21:45])
1526;Asia Dream;0;1;Prenzlauer Allee;89;10405;Berlin;http://www.lieferando.de/lieferservice-asia-dream-berlin;(Monday@100%[11:00-22:30]);(Tuesday@100%[11:00-22:30]);(Wednesday@100%[11:00-22:30]);(Thursday@100%[11:00-22:30]);(Friday@100%[11:00-22:30]);(Saturday@100%[11:00-22:30]);(Sunday@100%[11:00-22:30])
1527;Schnitzelhaus;1;0;Marburgerstr.;28;60487;Frankfurt am Main;http://www.lieferando.de/lieferservice-schnitzelhaus-frankfurt-am-main;(Monday@100%[11:30-14:30]);(Monday@100%[17:00-23:00]);(Tuesday@100%[11:30-14:30]);(Tuesday@100%[17:00-23:00]);(Wednesday@100%[11:30-14:30]);(Wednesday@100%[17:00-23:00]);(Thursday@100%[11:30-14:30]);(Thursday@100%[17:00-23:00]);(Friday@100%[11:30-14:30]);(Friday@100%[17:00-24:00]);(Saturday@100%[00:00-00:45]);(Saturday@100%[14:00-24:00]);(Sunday@100%[00:00-00:45]);(Sunday@100%[12:00-22:30])
1528;Blitz;1;0;Schlossstr.;125;60487;Frankfurt am Main;http://www.lieferando.de/lieferservice-blitz-frankfurt-am-main;(Monday@100%[11:30-15:00]);(Monday@100%[17:00-23:00]);(Tuesday@100%[11:30-15:00]);(Tuesday@100%[17:00-23:00]);(Wednesday@100%[11:30-15:00]);(Wednesday@100%[17:00-23:00]);(Thursday@100%[11:30-15:00]);(Thursday@100%[17:00-23:00]);(Friday@100%[11:30-15:00]);(Friday@100%[17:00-23:00]);(Saturday@100%[12:00-23:00]);(Sunday@100%[12:00-23:00])
1529;Crazy Pizza;1;0;Schlossstr.;35;60486;Frankfurt am Main;http://www.lieferando.de/lieferservice-crazy-pizza-frankfurt-am-main;(Monday@100%[11:15-14:30]);(Monday@100%[17:15-23:00]);(Tuesday@100%[11:15-14:30]);(Tuesday@100%[17:15-23:00]);(Wednesday@100%[11:15-14:30]);(Wednesday@100%[17:15-23:00]);(Thursday@100%[11:15-14:30]);(Thursday@100%[17:15-23:00]);(Friday@100%[11:15-14:30]);(Friday@100%[17:15-23:00]);(Saturday@100%[11:15-14:30]);(Saturday@100%[17:15-23:00]);(Sunday@100%[11:00-23:00])
1530;Indian Restaurant Alt Bockenheim;1;0;Schlossstr.;35a;60486;Frankfurt am Main;http://www.lieferando.de/lieferservice-indian-restaurant-alt-bockenheim-frankfurt-am-main;(Monday@100%[11:15-14:30]);(Monday@100%[17:00-23:00]);(Tuesday@100%[11:15-14:30]);(Tuesday@100%[17:15-23:00]);(Wednesday@100%[11:15-14:30]);(Wednesday@100%[17:15-23:00]);(Thursday@100%[11:15-14:30]);(Thursday@100%[17:15-23:00]);(Friday@100%[11:15-14:30]);(Saturday@100%[11:15-14:30]);(Saturday@100%[17:15-23:00]);(Sunday@100%[11:00-23:00])
1531;Pizzeria Acquario;1;0;Alt Sossenheim;30;65936;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizzeria-acquario-frankfurt-am-main;(Monday@100%[11:00-14:00]);(Monday@100%[17:00-23:00]);(Tuesday@100%[11:00-14:00]);(Tuesday@100%[17:00-23:00]);(Wednesday@100%[11:00-14:00]);(Wednesday@100%[17:00-23:00]);(Thursday@100%[11:00-14:00]);(Thursday@100%[17:00-23:00]);(Friday@100%[11:00-14:00]);(Friday@100%[17:00-23:00]);;(Sunday@100%[17:00-23:00])
1532;Pizza Boys;1;0;Homburger Landstraße;100;60435;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizza-boys-frankfurt-am-main;(Monday@100%[11:00-22:45]);(Tuesday@100%[11:00-22:45]);(Wednesday@100%[11:00-22:45]);(Thursday@100%[11:00-22:45]);(Friday@100%[11:00-22:45]);(Saturday@100%[11:00-22:45]);(Sunday@100%[11:00-22:45])
6240;Pizzeria Cavallino;0;1;Sossenheimer Weg;184;65936;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizzeria-cavallino-frankfurt-am-main;(Monday@100%[11:00-14:00]);(Monday@100%[17:00-23:00]);(Tuesday@100%[11:00-14:00]);(Tuesday@100%[17:00-23:00]);(Wednesday@100%[11:00-14:00]);(Wednesday@100%[17:00-23:00]);(Thursday@100%[11:00-14:00]);(Thursday@100%[17:00-23:00]);(Friday@100%[11:00-14:00]);(Friday@100%[17:00-23:00]);(Saturday@100%[17:00-23:00]);(Sunday@100%[12:00-23:00])
6241;Pizzeria Calabria;1;0;Frankenallee;37;60327;Frankfurt am Main;http://www.lieferando.de/lieferservice-pizzeria-calabria-frankfurt-am-main;(Monday@100%[11:30-14:30]);(Monday@100%[18:00-22:15]);(Tuesday@100%[11:30-14:30]);(Tuesday@100%[18:00-22:15]);(Wednesday@100%[11:30-14:30]);(Wednesday@100%[18:00-22:15]);(Thursday@100%[11:30-14:30]);(Thursday@100%[18:00-22:15]);(Friday@100%[11:30-14:30]);(Friday@100%[18:00-22:15]);(Saturday@100%[18:00-22:15]);(Sunday@100%[18:00-22:15])
6242;Kartagoo;0;1;Turiner Str.;24;13347;Berlin;http://www.lieferando.de/lieferservice-kartagoo-berlin;(Monday@100%[11:00-22:45]);(Tuesday@100%[11:00-22:45]);(Wednesday@100%[11:00-22:45]);(Thursday@100%[11:00-22:45]);(Friday@100%[11:00-22:45]);(Saturday@100%[11:00-22:45]);(Sunday@100%[11:00-22:45])
