2012-10-09T09:57:32+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 23861876, ServiceId 12836, CustomerId 1349769452, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:07:14+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 82361943, ServiceId 12836, CustomerId 1349770034, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:07:37+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 78216176, ServiceId 12836, CustomerId 1349770057, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:10:33+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 93594054, ServiceId 12836, CustomerId 1349770233, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:14:58+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 69504320, ServiceId 12836, CustomerId 1349770498, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:14:59+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 57986957, ServiceId 12836, CustomerId 1349770498, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:35:40+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 02209863, ServiceId 12836, CustomerId 1349771740, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:35:41+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 78756962, ServiceId 12836, CustomerId 1349771740, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:35:44+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 24084730, ServiceId 12836, CustomerId 1349771744, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:35:44+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 14207264, ServiceId 12836, CustomerId 1349771744, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:37:34+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 78561994, ServiceId 12836, CustomerId 1349771854, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:37:35+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87178585, ServiceId 12836, CustomerId 1349771854, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:37:36+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 44515095, ServiceId 12836, CustomerId 1349771856, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:37:36+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 28612626, ServiceId 12836, CustomerId 1349771856, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:38:39+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 21791952, ServiceId 12836, CustomerId 1349771919, Nachricht: Barzahlung zugestimmt 
2012-10-09T10:38:39+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 18424636, ServiceId 12836, CustomerId 1349771919, Nachricht: Barzahlung zugestimmt 
