2012-10-01T16:22:01+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 22004933, ServiceId 12836, CustomerId 1349101321, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:22:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 57509749, ServiceId 12836, CustomerId 1349101321, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:38:01+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 06991091, ServiceId 12836, CustomerId 1349102281, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:38:01+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 97914918, ServiceId 12836, CustomerId 1349102281, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:39:41+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 83767177, ServiceId 12836, CustomerId 1349102381, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:39:42+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 64773797, ServiceId 12836, CustomerId 1349102381, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:41:41+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 18815612, ServiceId 12836, CustomerId 1349102501, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:41:42+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 84100584, ServiceId 12836, CustomerId 1349102501, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:42:03+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 28906655, ServiceId 12836, CustomerId 1349102523, Nachricht: Barzahlung zugestimmt 
2012-10-01T16:42:04+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 56087558, ServiceId 12836, CustomerId 1349102523, Nachricht: Barzahlung zugestimmt 
