2012-07-17T11:05:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 29624603, ServiceId 20338, CustomerId 258455, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-07-17T11:05:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 29624603, ServiceId 20338, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:05:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 29624603, ServiceId 20338, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:05:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 29624603, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:05:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 29624603, ServiceId 20338, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:05:49+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 29624603, ServiceId 20338, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:05:57+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 94091581, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:07:05+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 80115599, ServiceId 20338, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:07:13+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 10913311, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:09:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 42996405, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:09:19+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 10510785, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:10:47+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 24325230, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:10:47+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 54096885, ServiceId 20338, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Paypalbezahlung zugestimmt 
2012-07-17T11:15:02+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 70107253, ServiceId 16362, CustomerId 258455, Nachricht: Kreditkartenzahlung zugestimmt 
2012-07-17T11:15:11+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 46046995, ServiceId 16362, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
2012-07-17T11:15:15+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 34659960, ServiceId 16362, CustomerId 258455, Nachricht: Barzahlung zugestimmt 
