2012-10-18T11:17:12+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 87909653, ServiceId 13454, CustomerId 1350551832, Nachricht: Barzahlung zugestimmt 
2012-10-18T11:17:13+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 27024405, ServiceId 13454, CustomerId 1350551832, Nachricht: Barzahlung zugestimmt 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Sofortüberweisung abgelehnt, weil systemweit deaktiviert 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Paypalbezahlung zugestimmt 
2012-10-18T18:02:18+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 20969918, ServiceId 13128, CustomerId 258467, Nachricht: Kreditkartenzahlung zugestimmt 
2012-10-18T18:02:55+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 96465649, ServiceId 13128, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
2012-10-18T18:02:58+02:00 INFO (6): ydadmin-ThinkPad-X220-Tablet serving lieferando.de.testing PaymentHelper: OrderNr 39928541, ServiceId 13128, CustomerId 258467, Nachricht: Barzahlung zugestimmt 
